"","x","y","value","nome"
"1",1,17,2,"bolha 1"
"2",2,17,2,"bolha 2"
"3",3,16,2,"bolha 3"
"4",3,17,2,"bolha 4"
"5",4,16,2,"bolha 5"
"6",5,15,2,"bolha 6"
"7",5,16,2,"bolha 7"
"8",6,15,2,"bolha 8"
"9",6,16,2,"bolha 9"
"10",7,15,2,"bolha 10"
"11",8,14,2,"bolha 11"
"12",8,15,2,"bolha 12"
"13",9,14,2,"bolha 13"
"14",9,15,2,"bolha 14"
"15",10,14,2,"bolha 15"
"16",11,13,2,"bolha 16"
"17",11,14,2,"bolha 17"
"18",12,13,2,"bolha 18"
"19",12,14,2,"bolha 19"
"20",12,31,1,"bolha 20"
"21",13,12,2,"bolha 21"
"22",13,13,2,"bolha 22"
"23",13,14,2,"bolha 23"
"24",13,30,1,"bolha 24"
"25",13,31,1,"bolha 25"
"26",14,12,2,"bolha 26"
"27",14,13,2,"bolha 27"
"28",14,28,1,"bolha 28"
"29",14,29,1,"bolha 29"
"30",14,30,1,"bolha 30"
"31",14,31,1,"bolha 31"
"32",15,12,2,"bolha 32"
"33",15,13,2,"bolha 33"
"34",15,27,1,"bolha 34"
"35",15,28,1,"bolha 35"
"36",15,29,1,"bolha 36"
"37",15,30,1,"bolha 37"
"38",16,12,2,"bolha 38"
"39",16,13,2,"bolha 39"
"40",16,25,1,"bolha 40"
"41",16,26,1,"bolha 41"
"42",16,27,1,"bolha 42"
"43",16,28,1,"bolha 43"
"44",16,29,1,"bolha 44"
"45",17,11,2,"bolha 45"
"46",17,12,2,"bolha 46"
"47",17,13,2,"bolha 47"
"48",17,23,1,"bolha 48"
"49",17,24,1,"bolha 49"
"50",17,25,1,"bolha 50"
"51",17,26,1,"bolha 51"
"52",17,27,1,"bolha 52"
"53",17,28,1,"bolha 53"
"54",18,1,1,"bolha 54"
"55",18,2,1,"bolha 55"
"56",18,11,2,"bolha 56"
"57",18,12,2,"bolha 57"
"58",18,21,1,"bolha 58"
"59",18,22,1,"bolha 59"
"60",18,23,1,"bolha 60"
"61",18,24,1,"bolha 61"
"62",18,25,1,"bolha 62"
